date,subs
2022-02-14,5245
2022-02-15,5436
2022-02-16,5508
2022-02-17,7179
2022-02-18,5508
2022-02-19,7716
2022-02-20,6700
2022-02-21,5850
2022-02-22,6020
2022-02-23,5965
2022-02-24,5845
2022-02-25,6346
2022-02-26,6372
2022-02-27,6089
2022-02-28,6462
2022-03-01,8927
2022-03-02,5938
2022-03-03,6179
2022-03-04,6505
2022-03-05,7116
2022-03-06,6771
2022-03-07,5710
2022-03-08,5242
2022-03-09,5472
2022-03-10,5913
2022-03-11,6138
2022-03-12,6352
2022-03-13,5779
2022-03-14,5379
2022-03-15,5417
2022-03-16,7017
2022-03-17,5067
2022-03-18,6453
2022-03-19,6064
2022-03-20,5746
2022-03-21,5310
2022-03-22,5491
2022-03-23,5398
2022-03-24,6031
2022-03-25,5398
2022-03-26,5664
2022-03-27,6360
2022-03-28,5327
2022-03-29,4543
2022-03-30,4209
2022-03-31,4667
2022-04-01,5741
2022-04-02,6390
2022-04-03,5763
2022-04-04,5738
2022-04-05,5458
2022-04-06,5491
2022-04-07,5212
2022-04-08,5168
2022-04-09,6116
2022-04-10,6316
2022-04-11,5678
2022-04-12,5352
2022-04-13,5154
2022-04-14,5280
2022-04-15,7083
2022-04-16,9505
2022-04-17,7108
2022-04-18,7070
2022-04-19,7459
2022-04-20,8966
2022-04-21,8103
2022-04-22,7141
2022-04-23,8483
2022-04-24,7316
2022-04-25,6395
2022-04-26,6760
2022-04-27,5519
2022-04-28,6141
2022-04-29,5932
2022-04-30,8853
2022-05-01,7927
2022-05-02,6900
2022-05-03,6708
2022-05-04,6379
2022-05-05,6195
2022-05-06,5716
2022-05-07,6269
2022-05-08,6152
2022-05-09,5398
2022-05-10,5774
2022-05-11,5878
2022-05-12,5705
2022-05-13,5650
2022-05-14,7574
2022-05-15,6234
2022-05-16,6957
2022-05-17,6248
2022-05-18,6012
2022-05-19,6445
2022-05-20,6453
2022-05-21,6291
2022-05-22,6626
2022-05-23,6028
2022-05-24,6168
2022-05-25,6722
2022-05-26,6080
2022-05-27,5669
2022-05-28,6343
2022-05-29,6708
2022-05-30,5373
2022-05-31,4984
2022-06-01,6132
2022-06-02,6922
2022-06-03,6363
2022-06-04,6513
2022-06-05,6278
2022-06-06,5982
2022-06-07,6080
2022-06-08,5727
2022-06-09,6206
2022-06-10,6227
2022-06-11,6316
2022-06-12,6050
2022-06-13,7250
2022-06-14,6154
2022-06-15,6839
2022-06-16,6743
2022-06-17,6557
2022-06-18,6226
2022-06-19,6494
2022-06-20,6368
2022-06-21,7091
2022-06-22,6371
2022-06-23,6974
2022-06-24,6839
2022-06-25,6313
2022-06-26,6015
2022-06-27,5732
2022-06-28,6735
2022-06-29,5869
2022-06-30,7409
2022-07-01,7105
2022-07-02,6525
